iter	RMSE
0	14.54936708
1	14.19435043
2	13.81871735
3	13.49103849
4	13.18356084
5	12.88391395
6	12.63768381
7	12.33056591
8	12.03268667
9	11.75940538
10	11.51193875
11	11.26009951
12	11.0527329
13	10.82509849
14	10.61700489
15	10.4037399
16	10.20038674
17	10.0213025
18	9.834432349
19	9.65447155
20	9.478536834
21	9.31885149
22	9.19902771
23	9.064925483
24	8.911295563
25	8.763437674
26	8.622067605
27	8.497503268
28	8.369581762
29	8.249936322
30	8.143985819
31	8.051197211
32	7.946995945
33	7.865586265
34	7.772716684
35	7.696609552
36	7.611321374
37	7.529275304
38	7.447465705
39	7.37159747
40	7.308983936
41	7.234440128
42	7.167962643
43	7.105387096
44	7.052524117
45	6.986213511
46	6.921021073
47	6.872749511
48	6.813160461
49	6.760855592
50	6.714777459
51	6.667676658
52	6.62173476
53	6.573927894
54	6.528411811
55	6.495509337
56	6.459537951
57	6.418118293
58	6.393502909
59	6.359840457
60	6.328150574
61	6.302574114
62	6.271384745
63	6.243333063
64	6.214501097
65	6.184876933
66	6.159885039
67	6.135996106
68	6.109522429
69	6.083674178
70	6.060358049
71	6.035860695
72	6.012680595
73	5.994239036
74	5.978272289
75	5.959455711
76	5.942544305
77	5.927412113
78	5.906319833
79	5.890751764
80	5.875649118
81	5.860951818
82	5.84447724
83	5.828397695
84	5.815082776
85	5.802721469
86	5.785053057
87	5.775224633
88	5.759242986
89	5.751560149
90	5.743026417
91	5.728180302
92	5.713681838
93	5.704551925
94	5.690738504
95	5.683458149
96	5.677164616
97	5.667315935
98	5.659366664
99	5.648505466
100	5.638064009
101	5.626322166
102	5.616924131
103	5.604015466
104	5.58984234
105	5.582433059
106	5.577666189
107	5.569654022
108	5.561840259
109	5.55274207
110	5.543118144
111	5.534622296
112	5.52526669
113	5.516223546
114	5.512759346
115	5.504007815
116	5.498777547
117	5.491615871
118	5.487745325
119	5.480784227
120	5.476441635
121	5.4675524
122	5.460119339
123	5.453431909
124	5.449476735
125	5.445917712
126	5.440863513
127	5.436996007
128	5.433843723
129	5.428305554
130	5.423198263
131	5.41694134
132	5.414089579
133	5.410496496
134	5.405488665
135	5.399025475
136	5.393890301
137	5.389547112
138	5.386379736
139	5.380660926
140	5.377830626
141	5.375755863
142	5.367791263
143	5.364499088
144	5.361507659
145	5.355848875
146	5.35117431
147	5.348298538
148	5.345129385
149	5.340833239
150	5.336718044
151	5.334338875
152	5.330684563
153	5.327109643
154	5.324677409
155	5.320500186
156	5.316770101
157	5.311365439
158	5.307103532
159	5.303935455
160	5.301724458
161	5.295739398
162	5.293208203
163	5.292558207
164	5.285700233
165	5.28292273
166	5.279748382
167	5.275900502
168	5.271947512
169	5.266896078
170	5.261354506
171	5.257898367
172	5.254986231
173	5.24680189
174	5.245233309
175	5.242256708
176	5.24162598
177	5.238517254
178	5.235393342
179	5.231102277
180	5.22759539
181	5.22364671
182	5.220712171
183	5.216693603
184	5.212894973
185	5.209413733
186	5.205357642
187	5.20214527
188	5.200168148
189	5.19629088
190	5.192945668
191	5.189872688
192	5.187265492
193	5.18551287
194	5.182961609
195	5.178092299
196	5.176136003
197	5.17082496
198	5.168983286
199	5.167996375
200	5.165037647
201	5.16313828
202	5.159569418
203	5.156532902
204	5.153400445
205	5.149994743
206	5.1472317
207	5.14336463
208	5.140490384
209	5.137383519
210	5.13576744
211	5.133103604
212	5.1307024
213	5.12895692
214	5.127152355
215	5.125540166
216	5.124148715
217	5.122654489
218	5.121337526
219	5.119550921
220	5.117986416
221	5.114284593
222	5.112628873
223	5.11147553
224	5.10829723
225	5.105549264
226	5.102329123
227	5.100139205
228	5.098912951
229	5.098704203
230	5.097088375
231	5.094064786
232	5.09180082
233	5.089930633
234	5.086879298
235	5.085486098
236	5.084189538
237	5.082232079
238	5.078515998
239	5.077067114
240	5.074099659
241	5.072032123
242	5.070756173
243	5.069299253
244	5.066839459
245	5.063448552
246	5.061741247
247	5.06008626
248	5.058969877
249	5.056786709
250	5.054755751
251	5.052645309
252	5.050796199
253	5.049596564
254	5.047563558
255	5.046278617
256	5.043997168
257	5.041245873
258	5.038498408
259	5.034523473
260	5.032072433
261	5.029452177
262	5.027270246
263	5.025974539
264	5.023355585
265	5.02147234
266	5.020297183
267	5.018622831
268	5.013621428
269	5.012505037
270	5.009210975
271	5.003784722
272	5.001524597
273	4.999523441
274	4.997458863
275	4.996093475
276	4.993745777
277	4.991647993
278	4.987901053
279	4.987007069
280	4.984889172
281	4.982920075
282	4.979823635
283	4.978502875
284	4.977454992
285	4.975569083
286	4.972121154
287	4.970412649
288	4.967980681
289	4.96609647
290	4.964611736
291	4.963528285
292	4.960479609
293	4.956468558
294	4.955575967
295	4.954439026
296	4.953085588
297	4.950995847
298	4.950226192
299	4.948870098
300	4.947418844
301	4.943521309
302	4.939456938
303	4.938241412
304	4.933470492
305	4.931607611
306	4.930700645
307	4.929522289
308	4.927807103
309	4.924558028
310	4.917972472
311	4.915736712
312	4.913690956
313	4.910344972
314	4.909545595
315	4.908843663
316	4.905624661
317	4.90320435
318	4.90089154
319	4.897273456
320	4.894371442
321	4.891294702
322	4.888156101
323	4.887415094
324	4.88687806
325	4.885186784
326	4.884142668
327	4.881573063
328	4.879193561
329	4.87570275
330	4.874128758
331	4.873219478
332	4.872677256
333	4.869954191
334	4.869115665
335	4.867671422
336	4.862987419
337	4.86111539
338	4.857291352
339	4.85446408
340	4.85377902
341	4.851107635
342	4.84901427
343	4.846070777
344	4.844695212
345	4.84328811
346	4.842835555
347	4.840715315
348	4.837589113
349	4.836864589
350	4.834430624
351	4.833735248
352	4.832241619
353	4.831263282
354	4.830011844
355	4.828786088
356	4.827211022
357	4.825357543
358	4.822715724
359	4.82010014
360	4.816911422
361	4.814890356
362	4.812808497
363	4.811432645
364	4.809094297
365	4.805627679
366	4.803894911
367	4.799696442
368	4.797365395
369	4.79674088
370	4.793993891
371	4.792037415
372	4.790829332
373	4.788734153
374	4.78809244
375	4.786247673
376	4.783187413
377	4.779257026
378	4.77768574
379	4.77667816
380	4.774508248
381	4.773242934
382	4.769741864
383	4.769135901
384	4.767546316
385	4.766365704
386	4.765794271
387	4.763671468
388	4.763186362
389	4.761124404
390	4.759225141
391	4.756989684
392	4.755571358
393	4.752528504
394	4.749677389
395	4.748260289
396	4.745523433
397	4.744767877
398	4.742371795
399	4.740941725
400	4.739504824
401	4.738379958
402	4.736611289
403	4.736211176
404	4.732911086
405	4.730047077
406	4.728114397
407	4.725228018
408	4.723095585
409	4.718283774
410	4.716774479
411	4.7147235
412	4.712719866
413	4.7103096
414	4.707572633
415	4.705892313
416	4.705505149
417	4.704388973
418	4.703173394
419	4.701666562
420	4.700844892
421	4.698535966
422	4.696648629
423	4.694723004
424	4.692244358
425	4.6912492
426	4.688314174
427	4.687899709
428	4.686887957
429	4.686269495
430	4.68526746
431	4.68237702
432	4.679547105
433	4.676001018
434	4.675673538
435	4.675071845
436	4.674850392
437	4.671536212
438	4.670211167
439	4.669548603
440	4.668651446
441	4.667533196
442	4.665653952
443	4.663274687
444	4.660693045
445	4.660589971
446	4.660127545
447	4.659814522
448	4.658558369
449	4.656199643
450	4.653989526
451	4.653350341
452	4.651236679
453	4.649349507
454	4.648589148
455	4.646319798
456	4.643009945
457	4.642715604
458	4.639240619
459	4.638317855
460	4.636795342
461	4.635222771
462	4.634858409
463	4.634026591
464	4.631302756
465	4.630902848
466	4.630521752
467	4.629823673
468	4.629052932
469	4.627371541
470	4.6261229
471	4.625042948
472	4.622775627
473	4.620493066
474	4.619347844
475	4.617291778
476	4.615074419
477	4.612796856
478	4.610401067
479	4.608179019
480	4.604892107
481	4.603836496
482	4.600245251
483	4.600069194
484	4.599248636
485	4.598034571
486	4.595564019
487	4.593646563
488	4.592658829
489	4.592296082
490	4.59097301
491	4.588432945
492	4.585805837
493	4.584072863
494	4.579630316
495	4.577860931
496	4.57714596
497	4.575930528
498	4.575381872
499	4.570871284
500	4.568297354
501	4.566998104
502	4.564811657
503	4.563707841
504	4.563556557
505	4.562716256
506	4.559826535
507	4.559262377
508	4.556413365
509	4.554929408
510	4.553537163
511	4.552471879
512	4.54960096
513	4.548816832
514	4.54665234
515	4.543919185
516	4.542582613
517	4.541810109
518	4.539160716
519	4.536067667
520	4.533938039
521	4.531451669
522	4.527307442
523	4.525451203
524	4.523553814
525	4.520975911
526	4.520810152
527	4.518756356
528	4.516151839
529	4.51528315
530	4.512129138
531	4.511461739
532	4.509108203
533	4.508072795
534	4.507648017
535	4.505116342
536	4.505003584
537	4.503750661
538	4.502318633
539	4.500544299
540	4.497113855
541	4.495382974
542	4.494669551
543	4.494590615
544	4.493289903
545	4.492029005
546	4.48951367
547	4.487973574
548	4.487212628
549	4.484180401
550	4.481816647
551	4.481326089
552	4.477936411
553	4.477802756
554	4.477637333
555	4.475418478
556	4.473031159
557	4.471451893
558	4.470379714
559	4.470208932
560	4.467507099
561	4.466234369
562	4.464600619
563	4.462033866
564	4.460003536
565	4.457772767
566	4.457178578
567	4.454325902
568	4.453658017
569	4.45356342
570	4.450911906
571	4.448853848
572	4.44668313
573	4.446584971
574	4.444467504
575	4.444061011
576	4.443983456
577	4.441588469
578	4.440052544
579	4.43818225
580	4.436680383
581	4.435245174
582	4.434656767
583	4.432484082
584	4.431774053
585	4.42941213
586	4.428913258
587	4.427162466
588	4.424655334
589	4.422586218
590	4.420305159
591	4.418587518
592	4.417172838
593	4.414725414
594	4.410933196
595	4.410387033
596	4.408971904
597	4.406960467
598	4.405085985
599	4.404005736
600	4.402128642
601	4.400184738
602	4.399472212
603	4.398037676
604	4.395941422
605	4.394029296
606	4.392260855
607	4.391547508
608	4.389983059
609	4.388161604
610	4.386112004
611	4.381695206
612	4.379892185
613	4.378012643
614	4.375596534
615	4.372871854
616	4.372273835
617	4.371741018
618	4.370321163
619	4.369947962
620	4.367785266
621	4.367558892
622	4.366484892
623	4.364524434
624	4.364269277
625	4.362233179
626	4.361755023
627	4.360063347
628	4.358030755
629	4.356459412
630	4.35430912
631	4.354268898
632	4.353081371
633	4.351953176
634	4.351403242
635	4.350275827
636	4.349458718
637	4.347220834
638	4.346263174
639	4.344394764
640	4.342630444
641	4.341892963
642	4.340310561
643	4.338080136
644	4.336479311
645	4.335506025
646	4.334778421
647	4.333971564
648	4.333327464
649	4.333177997
650	4.33278437
651	4.329621177
652	4.329063666
653	4.326971123
654	4.325416291
655	4.322116069
656	4.319959308
657	4.318110515
658	4.317450207
659	4.317359608
660	4.316251717
661	4.316014603
662	4.313975646
