iter	Passed	Remaining
0	0	498
1	2	635
2	3	605
3	5	639
4	6	637
5	7	650
6	9	677
7	10	641
8	11	639
9	12	620
10	14	634
11	16	651
12	16	635
13	17	620
14	19	638
15	20	628
16	22	644
17	23	635
18	24	623
19	25	610
20	28	643
21	29	636
22	31	644
23	32	640
24	33	633
25	34	623
26	36	643
27	37	636
28	38	631
29	39	626
30	41	629
31	43	632
32	44	626
33	45	630
34	47	637
35	49	634
36	50	626
37	50	619
38	51	614
39	53	616
40	54	609
41	56	617
42	57	614
43	59	613
44	63	640
45	64	636
46	66	637
47	68	641
48	69	635
49	70	633
50	72	635
51	74	638
52	75	634
53	76	629
54	78	632
55	80	638
56	81	635
57	84	641
58	85	636
59	87	639
60	89	640
61	90	637
62	91	637
63	93	634
64	95	636
65	95	630
66	97	630
67	98	625
68	99	621
69	100	616
70	101	611
71	102	606
72	103	603
73	128	740
74	129	736
75	131	731
76	132	728
77	134	728
78	136	727
79	137	723
80	139	719
81	141	721
82	142	718
83	144	714
84	145	709
85	146	707
86	147	702
87	149	697
88	150	693
89	151	688
90	152	683
91	153	678
92	154	674
93	155	670
94	156	667
95	157	663
96	159	663
97	160	659
98	161	655
99	163	655
100	166	655
101	166	651
102	168	649
103	169	647
104	171	646
105	173	645
106	174	641
107	175	637
108	177	636
109	178	632
110	179	628
111	180	624
112	181	621
113	182	619
114	183	615
115	185	612
116	186	611
117	188	609
118	189	605
119	190	604
120	191	601
121	192	597
122	193	593
123	194	590
124	195	586
125	196	582
126	197	579
127	198	576
128	199	574
129	201	572
130	202	570
131	203	567
132	204	564
133	205	562
134	207	559
135	208	556
136	209	554
137	210	553
138	211	550
139	212	547
140	214	545
141	215	542
142	216	540
143	217	537
144	218	534
145	219	531
146	220	528
147	221	526
148	222	524
149	224	523
150	225	521
151	226	517
152	228	517
153	229	516
154	230	514
155	231	511
156	232	509
157	233	506
158	234	503
159	235	500
160	236	497
161	237	495
162	238	492
163	239	490
164	240	487
165	241	486
166	242	483
167	243	481
168	245	480
169	247	480
170	248	478
171	249	475
172	252	477
173	254	476
174	255	474
175	258	475
176	258	472
177	260	470
178	262	470
179	263	468
180	266	468
181	267	466
182	268	464
183	269	462
184	270	461
185	271	458
186	272	456
187	274	456
188	278	458
189	282	461
190	284	459
191	285	458
192	286	456
193	288	454
194	289	452
195	290	450
196	291	447
