iter	Passed	Remaining
0	145	145783
1	147	73447
2	150	49893
3	151	37688
4	152	30361
5	153	25464
6	155	22048
7	157	19498
8	160	17706
9	161	16035
10	163	14677
11	164	13572
12	166	12650
13	168	11839
14	171	11290
15	173	10645
16	174	10074
17	177	9669
18	178	9217
19	179	8806
20	182	8528
21	184	8196
22	185	7881
23	186	7595
24	189	7384
25	190	7138
26	192	6924
27	195	6774
28	196	6583
29	197	6394
30	198	6218
31	202	6121
32	203	5963
33	204	5815
34	207	5718
35	208	5587
36	209	5462
37	211	5359
38	215	5299
39	217	5220
40	221	5176
41	223	5099
42	226	5041
43	229	4988
44	232	4939
45	234	4857
46	235	4774
47	239	4753
48	241	4687
49	244	4639
50	245	4570
51	246	4501
52	248	4448
53	250	4390
54	252	4331
55	253	4271
56	256	4238
57	259	4219
58	262	4190
59	264	4136
60	265	4084
61	266	4036
62	268	3997
63	270	3949
64	271	3902
65	274	3889
66	276	3853
67	278	3814
68	279	3775
69	281	3746
70	283	3707
71	311	4009
72	313	3976
73	317	3967
74	319	3935
75	323	3938
76	337	4044
77	338	4004
78	342	3990
79	344	3963
80	348	3957
81	350	3921
82	351	3879
83	352	3846
84	354	3815
85	355	3782
86	357	3751
87	363	3771
88	366	3751
89	372	3769
90	374	3738
91	375	3708
92	379	3698
93	380	3672
94	382	3644
95	387	3649
96	389	3621
97	391	3605
98	392	3575
99	394	3549
100	395	3524
101	398	3507
102	399	3479
103	400	3451
104	401	3423
105	402	3397
106	404	3373
107	405	3347
108	406	3323
109	407	3298
110	408	3273
111	410	3252
112	411	3230
113	413	3212
114	414	3191
115	416	3176
116	417	3154
117	419	3131
118	420	3110
119	421	3088
120	423	3073
121	423	3051
122	425	3032
123	426	3013
124	427	2993
125	431	2990
126	432	2969
127	433	2950
128	434	2936
129	436	2919
130	437	2901
131	438	2883
132	439	2866
133	442	2856
134	443	2842
135	444	2825
136	445	2807
137	446	2790
138	447	2774
139	449	2760
140	450	2747
141	451	2729
142	452	2713
143	453	2697
144	455	2683
145	456	2667
146	457	2653
147	458	2637
